Time stamp,Irradiance DNI from weather file | (W/m2),Inverter AC output power | (kW)
1104,0,-0.297
1105,0,-0.297
1106,0,-0.297
1107,0,-0.297
1108,0,-0.297
1109,0,-0.297
1110,0,-0.297
1111,0,-0.297
1112,0,38.5601
1113,137,373.463
1114,159,636.594
1115,820,1618.54
1116,356,1241.28
1117,0,88.7359
1118,39,601.078
1119,0,226.171
1120,289,729.449
1121,569,636.459
1122,168,45.995
1123,0,-0.297
1124,0,-0.297
1125,0,-0.297
1126,0,-0.297
1127,0,-0.297
1128,0,-0.297
1129,0,-0.297
1130,0,-0.297
1131,0,-0.297
1132,0,-0.297
1133,0,-0.297
1134,0,-0.297
1135,0,-0.297
1136,427,221.059
1137,736,856.722
1138,860,1339.83
1139,918,1640.42
1140,939,1792.39
1141,938,1809.74
1142,916,1699.95
1143,873,1475.73
1144,795,1145.79
1145,631,653.583
1146,210,51.7137
1147,0,-0.297
1148,0,-0.297
1149,0,-0.297
1150,0,-0.297
1151,0,-0.297
1152,0,-0.297
1153,0,-0.297
1154,0,-0.297
1155,0,-0.297
1156,0,-0.297
1157,0,-0.297
1158,0,-0.297
1159,0,-0.297
1160,0,-0.297
1161,0,12.8624
1162,0,26.0221
1163,0,10.8212
1164,0,27.5354
1165,0,69.5611
1166,0,106.515
1167,0,33.1578
1168,0,180.594
1169,297,481.808
1170,0,13.7057
1171,0,-0.297
1172,0,-0.297
1173,0,-0.297
1174,0,-0.297
1175,0,-0.297
1176,0,-0.297
1177,0,-0.297
1178,0,-0.297
1179,0,-0.297
1180,0,-0.297
1181,0,-0.297
1182,0,-0.297
1183,0,-0.297
1184,0,-0.297
1185,0,7.12096
1186,0,105.866
1187,813,1608.02
1188,868,1829.47
1189,414,1399.14
1190,62,706.013
1191,122,740.515
1192,783,1240.89
1193,629,695.445
1194,0,36.035
1195,0,-0.297
1196,0,-0.297
1197,0,-0.297
1198,0,-0.297
1199,0,-0.297
1200,0,-0.297
1201,0,-0.297
1202,0,-0.297
1203,0,-0.297
1204,0,-0.297
1205,0,-0.297
1206,0,-0.297
1207,0,-0.297
1208,391,240.336
1209,690,881.843
1210,815,1385.3
1211,418,1242.3
1212,941,1943.78
1213,943,1980.91
1214,909,1882.19
1215,866,1631.42
1216,774,1236.29
1217,614,689.001
1218,201,60.9446
1219,0,-0.297
1220,0,-0.297
1221,0,-0.297
1222,0,-0.297
1223,0,-0.297
1224,0,-0.297
1225,0,-0.297
1226,0,-0.297
1227,0,-0.297
1228,0,-0.297
1229,0,-0.297
1230,0,-0.297
1231,0,-0.297
1232,402,248.112
1233,505,706.623
1234,833,1340.15
1235,891,1637.39
1236,911,1799.85
1237,898,1845.78
1238,859,1748.84
1239,796,1519.26
1240,631,1046.1
1241,290,456.141
1242,53,32.7476
1243,0,-0.297
1244,0,-0.297
1245,0,-0.297
1246,0,-0.297
1247,0,-0.297
1248,0,-0.297
1249,0,-0.297
1250,0,-0.297
1251,0,-0.297
1252,0,-0.297
1253,0,-0.297
1254,0,-0.297
1255,0,-0.297
1256,0,20.7599
1257,0,9.15593
1258,0,168.954
1259,0,136.993
1260,0,136.379
1261,110,885.455
1262,223,1057.83
1263,794,1584.95
1264,701,1196.44
1265,526,654.187
1266,155,60.0232
1267,0,-0.297
1268,0,-0.297
1269,0,-0.297
1270,0,-0.297
1271,0,-0.297
1272,0,-0.297
1273,0,-0.297
1274,0,-0.297
1275,0,-0.297
1276,0,-0.297
1277,0,-0.297
1278,0,-0.297
1279,0,-0.297
1280,406,267.662
1281,689,894.36
1282,401,986.428
1283,886,1750.13
1284,923,1961.62
1285,936,1996.93
1286,940,1914.03
1287,907,1683.15
1288,826,1289.89
1289,672,737.634
1290,284,81.9671
1291,0,-0.297
1292,0,-0.297
1293,0,-0.297
1294,0,-0.297
1295,0,-0.297
1296,0,-0.297
1297,0,-0.297
1298,0,-0.297
1299,0,-0.297
1300,0,-0.297
1301,0,-0.297
1302,0,-0.297
1303,0,-0.297
1304,469,297.825
1305,750,941.795
1306,872,1444.11
1307,935,1765.53
1308,963,1952.13
1309,968,1986.33
1310,948,1873.11
1311,909,1633.25
1312,836,1258.82
1313,690,727.312
1314,320,98.6769
1315,0,-0.297
1316,0,-0.297
1317,0,-0.297
1318,0,-0.297
1319,0,-0.297
1320,0,-0.297
1321,0,-0.297
1322,0,-0.297
1323,0,-0.297
1324,0,-0.297
1325,0,-0.297
1326,0,-0.297
1327,0,-0.297
1328,0,75.3848
1329,649,855.298
1330,778,1316.87
1331,856,1635.78
1332,898,1813.62
1333,907,1851.11
1334,893,1770.24
1335,847,1542.58
1336,757,1179.75
1337,599,681.329
1338,236,95.9891
1339,0,-0.297
1340,0,-0.297
1341,0,-0.297
1342,0,-0.297
1343,0,-0.297
1344,0,-0.297
1345,0,-0.297
1346,0,-0.297
1347,0,-0.297
1348,0,-0.297
1349,0,-0.297
1350,0,-0.297
1351,0,-0.297
1352,0,63.5762
1353,0,31.4778
1354,43,460.083
1355,10,405.591
1356,232,1060.46
1357,12,464.109
1358,97,777.296
1359,648,1306.57
1360,56,431.949
1361,450,587.17
1362,148,85.0972
1363,0,-0.297
1364,0,-0.297
1365,0,-0.297
1366,0,-0.297
1367,0,-0.297
1368,0,-0.297
1369,0,-0.297
1370,0,-0.297
1371,0,-0.297
1372,0,-0.297
1373,0,-0.297
1374,0,-0.297
1375,0,-0.297
1376,0,16.9966
1377,381,634.572
1378,474,1026.87
1379,127,800.089
1380,52,685.365
1381,37,644.575
1382,42,630.585
1383,0,205.435
1384,0,102.215
1385,0,61.4387
1386,0,3.12498
1387,0,-0.297
1388,0,-0.297
1389,0,-0.297
1390,0,-0.297
1391,0,-0.297
1392,0,-0.297
1393,0,-0.297
1394,0,-0.297
1395,0,-0.297
1396,0,-0.297
1397,0,-0.297
1398,0,-0.297
1399,0,-0.297
1400,0,87.4215
1401,168,467.106
1402,17,384.468
1403,57,653.274
1404,18,526.615
1405,9,454.781
1406,0,330.02
1407,3,357.983
1408,0,137.592
1409,215,422.948
1410,70,70.3991
1411,0,-0.297
1412,0,-0.297
1413,0,-0.297
1414,0,-0.297
1415,0,-0.297
1416,0,-0.297
1417,0,-0.297
1418,0,-0.297
1419,0,-0.297
1420,0,-0.297
1421,0,-0.297
1422,0,-0.297
1423,0,-0.297
1424,456,317.89
1425,730,933.685
1426,120,650.137
1427,882,1724.13
1428,2,348.634
1429,888,1937.65
1430,879,1843.36
1431,848,1608.95
1432,791,1244.72
1433,665,738.255
1434,336,145.563
1435,0,-0.297
1436,0,-0.297
1437,0,-0.297
1438,0,-0.297
1439,0,-0.297
1440,0,-0.297
1441,0,-0.297
1442,0,-0.297
1443,0,-0.297
1444,0,-0.297
1445,0,-0.297
1446,0,-0.297
1447,0,-0.297
1448,483,339.026
1449,720,936.585
1450,820,1372.94
1451,857,1655.67
1452,868,1786
1453,861,1792.51
1454,850,1690.64
1455,810,1474.37
1456,741,1144.77
1457,621,689.227
1458,296,141.328
1459,0,-0.297
1460,0,-0.297
1461,0,-0.297
1462,0,-0.297
1463,0,-0.297
1464,0,-0.297
1465,0,-0.297
1466,0,-0.297
1467,0,-0.297
1468,0,-0.297
1469,0,-0.297
1470,0,-0.297
1471,0,-0.297
1472,86,157.206
1473,669,892.302
1474,802,1339.62
1475,873,1652.49
1476,910,1819.07
1477,919,1860.82
1478,908,1769.08
1479,872,1554.48
1480,734,1117.81
1481,582,642.179
1482,320,144.939
1483,0,-0.297
1484,0,-0.297
1485,0,-0.297
1486,0,-0.297
1487,0,-0.297
1488,0,-0.297
1489,0,-0.297
1490,0,-0.297
1491,0,-0.297
1492,0,-0.297
1493,0,-0.297
1494,0,-0.297
1495,0,-0.297
1496,0,55.1855
1497,87,375.596
1498,18,380.232
1499,21,478.956
1500,3,346.331
1501,172,1032.86
1502,49,666.077
1503,120,750.331
1504,88,502.343
1505,0,158.24
1506,0,15.2301
1507,0,-0.297
1508,0,-0.297
1509,0,-0.297
